,symbol,emoji,kline,alert_price,Time_(MSK),resist_level,n_touches,conf_level,resist_length,max_ratio_p
1232,BELUSDT,💥💥💥,1 kline,0.687,2023-12-05 06:13:52.646000,0.6797,1.0,0.0,1.0,1.543
1233,BADGERUSDT,💥💥💥,1 kline,4.648,2023-12-05 06:12:50.905000,4.654,2.0,0.0,29.0,2.926
1234,SEIUSDT,💥💥💥,1 kline,0.281,2023-12-05 06:09:19.208000,0.2794,5.0,0.0,7.0,0.641
1235,BIGTIMEUSDT,💥💥💥,1 kline,0.7941,2023-12-05 06:05:53.290000,0.7722,1.0,0.0,1.0,3.891
1236,ZENUSDT,💥💥💥,1 kline,11.289,2023-12-05 06:05:17.039000,11.242,5.0,0.0,20.0,3.986
1237,HBARUSDT,🌊🌊🌊,2 kline,0.06505,2023-12-05 06:04:34.907000,0.06469,12.0,0.0,43.0,1.184
1238,PHBUSDT,🌊🌊🌊,2 kline,0.8435,2023-12-05 06:02:14.412000,0.8384,6.0,0.0,24.0,2.288
1239,SUPERUSDT,💥💥💥,1 kline,0.6994,2023-12-05 05:48:30.775000,0.6797,2.0,0.0,1.0,1.544
1240,NTRNUSDT,💥💥💥,1 kline,0.7343,2023-12-05 05:48:25.366000,0.7286,3.0,1.0,62.0,0.749
1241,CYBERUSDT,💥💥💥,1 kline,7.148,2023-12-05 05:48:20.898000,7.128,1.0,0.0,1.0,3.19
1242,MAVUSDT,💥💥💥,1 kline,0.3521,2023-12-05 05:44:56.903000,0.3483,3.0,0.0,8.0,2.925
1243,CHRUSDT,💥💥💥,1 kline,0.1535,2023-12-05 05:40:08.250000,0.1522,3.0,0.0,1.0,0.912
1244,RIFUSDT,🌊🌊🌊,2 kline,0.13481,2023-12-05 05:38:17.570000,0.13428,3.0,0.0,2.0,6.78
1245,KEYUSDT,💥💥💥,1 kline,0.006222,2023-12-05 05:37:51.117000,0.006224,5.0,0.0,13.0,1.205
1246,BEAMXUSDT,💥💥💥,1 kline,0.012184,2023-12-05 05:37:38.316000,0.012118,3.0,0.0,9.0,2.183
1247,BICOUSDT,🌊🌊🌊,2 kline,0.2996,2023-12-05 05:33:25.362000,0.2946,2.0,0.0,3.0,1.636
1248,AUDIOUSDT,💥💥💥,1 kline,0.2354,2023-12-05 05:29:37.029000,0.2341,3.0,0.0,4.0,0.68
1249,ACHUSDT,💥💥💥,1 kline,0.02265,2023-12-05 05:27:17.647000,0.02246,3.0,0.0,5.0,0.0
1250,TUSDT,🌊🌊🌊,2 kline,0.0273,2023-12-05 05:18:20.312000,0.027,3.0,0.0,13.0,1.099
1251,JOEUSDT,💥💥💥,1 kline,0.481,2023-12-05 04:59:12.964000,0.4769,2.0,0.0,1.0,5.696
1252,MEMEUSDT,💥💥💥,1 kline,0.037921,2023-12-05 04:58:46.162000,0.037264,2.0,0.0,1.0,9.567
1253,XVSUSDT,💥💥💥,1 kline,8.169,2023-12-05 04:57:34.848000,8.12,1.0,0.0,1.0,3.06
1254,AGLDUSDT,💥💥💥,1 kline,1.0181,2023-12-05 04:56:21.226000,1.0112,3.0,0.0,9.0,3.457
1255,KASUSDT,💥💥💥,1 kline,0.1422,2023-12-05 04:55:37.739000,0.142,5.0,0.0,5.0,1.336
1256,FETUSDT,💥💥💥,1 kline,0.5393,2023-12-05 04:47:54.882000,0.5384,2.0,0.0,4.0,0.148
1257,COMPUSDT,💥💥💥,1 kline,51.47,2023-12-05 04:41:43.549000,51.36,1.0,0.0,1.0,0.272
1258,GTCUSDT,💥💥💥,1 kline,1.175,2023-12-05 04:33:54.714000,1.186,1.0,0.0,1.0,3.574
1259,MDTUSDT,💥💥💥,1 kline,0.06038,2023-12-05 04:15:58.907000,0.06038,4.0,0.0,7.0,0.017
1260,LPTUSDT,💥💥💥,1 kline,6.99,2023-12-05 04:15:41.442000,6.937,3.0,0.0,4.0,0.959
1262,YGGUSDT,💥💥💥,1 kline,0.3823,2023-12-05 04:01:55.009000,0.3771,3.0,0.0,3.0,0.026
1263,ASTRUSDT,💥💥💥,1 kline,0.07388,2023-12-05 04:01:54.567000,0.07347,4.0,0.0,18.0,0.365
1264,1000PEPEUSDT,🌊🌊🌊,2 kline,0.0014957,2023-12-05 04:01:53.243000,0.0013854,1.0,0.0,1.0,0.963
1265,1000FLOKIUSDT,🌊🌊🌊,2 kline,0.03781,2023-12-05 04:01:43.313000,0.03733,2.0,0.0,17.0,1.296
1266,TRUUSDT,🌊🌊🌊,2 kline,0.05966,2023-12-05 04:00:55.005000,0.05942,4.0,0.0,6.0,0.151
1267,ACHUSDT,💥💥💥,1 kline,0.02303,2023-12-05 04:00:49.983000,0.02287,6.0,1.0,54.0,1.129
1268,HFTUSDT,💥💥💥,1 kline,0.3368,2023-12-05 04:00:46.313000,0.3341,2.0,0.0,4.0,0.148
1269,AUDIOUSDT,🌊🌊🌊,2 kline,0.2373,2023-12-05 03:59:37.756000,0.2329,4.0,0.0,9.0,2.276
1270,IOSTUSDT,🌊🌊🌊,2 kline,0.009939,2023-12-05 03:58:59.035000,0.009789,5.0,0.0,6.0,1.419
1271,THETAUSDT,💥💥💥,1 kline,1.151,2023-12-05 03:57:52.140000,1.1458,2.0,0.0,2.0,1.911
1272,ZILUSDT,💥💥💥,1 kline,0.02303,2023-12-05 03:57:12.878000,0.02283,5.0,0.0,14.0,1.433
1273,PHBUSDT,💥💥💥,1 kline,0.8606,2023-12-05 03:56:54.455000,0.8544,2.0,0.0,2.0,1.092
1274,ORBSUSDT,💥💥💥,1 kline,0.04619,2023-12-05 03:51:54.838000,0.04547,1.0,0.0,1.0,0.823
1275,SXPUSDT,💥💥💥,1 kline,0.3717,2023-12-05 03:51:53.649000,0.37,1.0,0.0,1.0,0.565
1276,HOOKUSDT,💥💥💥,1 kline,1.0967,2023-12-05 03:50:18.825000,1.0961,3.0,0.0,14.0,1.249
1277,IOTAUSDT,💥💥💥,1 kline,0.3354,2023-12-05 03:48:50.597000,0.3329,5.0,0.0,37.0,0.328
1278,JASMYUSDT,💥💥💥,1 kline,0.005817,2023-12-05 03:47:43.418000,0.005776,3.0,0.0,8.0,1.633
1279,SNTUSDT,💥💥💥,1 kline,0.04467,2023-12-05 03:46:59.373000,0.0444,4.0,0.0,2.0,0.537
1280,MEMEUSDT,💥💥💥,1 kline,0.03748,2023-12-05 03:46:53.489000,0.036493,2.0,0.0,5.0,9.085
1281,ANKRUSDT,🌊🌊🌊,3 kline,0.0276,2023-12-05 03:46:34.644000,0.02737,5.0,0.0,11.0,0.906
1282,GASUSDT,🌊🌊🌊,2 kline,8.01,2023-12-05 03:44:43.141000,7.944,6.0,0.0,9.0,0.225
1283,RLCUSDT,🌊🌊🌊,2 kline,1.5374,2023-12-05 03:44:34.038000,1.5212,5.0,0.0,25.0,0.397
1284,XVSUSDT,💥💥💥,1 kline,8.391,2023-12-05 03:42:25.463000,8.338,6.0,0.0,10.0,0.298
1285,NKNUSDT,🌊🌊🌊,2 kline,0.11587,2023-12-05 03:41:16.801000,0.11515,4.0,0.0,9.0,0.388
1286,PENDLEUSDT,💥💥💥,1 kline,1.2776,2023-12-05 03:39:00.355000,1.2671,2.0,0.0,4.0,2.395
1287,SPELLUSDT,🌊🌊🌊,2 kline,0.0006186,2023-12-05 03:38:00.165000,0.0006149,1.0,0.0,1.0,0.469
1288,HBARUSDT,🌊🌊🌊,2 kline,0.06541,2023-12-05 03:36:56.614000,0.06444,1.0,0.0,1.0,0.78
1289,ZECUSDT,💥💥💥,1 kline,31.97,2023-12-05 03:36:56.195000,31.77,5.0,0.0,32.0,0.563
1290,MBLUSDT,🌊🌊🌊,2 kline,0.005462,2023-12-05 03:35:39.668000,0.00543,3.0,0.0,14.0,0.677
1291,BANDUSDT,💥💥💥,1 kline,1.5896,2023-12-05 03:29:54.522000,1.5828,1.0,0.0,1.0,0.245
1292,SUPERUSDT,💥💥💥,1 kline,0.6916,2023-12-05 03:23:59.064000,0.6918,1.0,0.0,1.0,1.403
1293,BICOUSDT,💥💥💥,1 kline,0.2961,2023-12-05 03:22:57.294000,0.2936,6.0,0.0,12.0,0.979
1294,WAVESUSDT,💥💥💥,1 kline,2.2174,2023-12-05 03:20:31.046000,2.1965,6.0,0.0,9.0,2.147
1295,KNCUSDT,🌊🌊🌊,2 kline,0.7347,2023-12-05 03:19:20.953000,0.7287,1.0,0.0,1.0,2.001
1296,ARKMUSDT,💥💥💥,1 kline,0.51,2023-12-05 03:18:50.400000,0.5092,2.0,0.0,2.0,3.667
1297,BNTUSDT,💥💥💥,1 kline,0.7947,2023-12-05 03:17:48.302000,0.7888,4.0,0.0,15.0,1.221
1298,FLOWUSDT,🌊🌊🌊,2 kline,0.745,2023-12-05 03:14:54.904000,0.728,1.0,0.0,1.0,7.919
1299,SEIUSDT,💥💥💥,1 kline,0.2779,2023-12-05 03:11:47.218000,0.2752,4.0,0.0,37.0,4.39
1300,SEIUSDT,💥💥💥,1 kline,0.2779,2023-12-05 03:11:47.218000,0.2752,4.0,0.0,37.0,4.39
1301,XVGUSDT,💥💥💥,1 kline,0.003751,2023-12-05 03:10:48.869000,0.003756,1.0,0.0,1.0,1.093
1302,STMXUSDT,🌊🌊🌊,2 kline,0.00823,2023-12-05 03:09:51.476000,0.00817,1.0,0.0,1.0,2.43
1303,MTLUSDT,🌊🌊🌊,2 kline,1.7403,2023-12-05 03:05:16.044000,1.7238,4.0,0.0,17.0,1.12
1304,APTUSDT,🌊🌊🌊,2 kline,7.85,2023-12-05 03:04:21.636000,7.846,3.0,0.0,5.0,0.306
1305,API3USDT,🌊🌊🌊,2 kline,1.5414,2023-12-05 03:02:43.991000,1.5188,2.0,0.0,9.0,4.321
1306,BEAMXUSDT,💥💥💥,1 kline,0.012988,2023-12-05 03:01:59.557000,0.012979,2.0,0.0,3.0,0.755
1307,ALPHAUSDT,🌊🌊🌊,2 kline,0.09937,2023-12-05 03:01:51.715000,0.09907,8.0,1.0,95.0,0.886
1308,ARPAUSDT,🌊🌊🌊,2 kline,0.05133,2023-12-05 03:01:31.331000,0.05116,9.0,2.0,104.0,2.708
1309,AGIXUSDT,🌊🌊🌊,2 kline,0.3147,2023-12-05 03:00:21.271000,0.3118,4.0,0.0,34.0,0.222
1310,CVXUSDT,🌊🌊🌊,2 kline,3.916,2023-12-05 03:00:19.220000,3.901,6.0,0.0,7.0,0.587
1311,AVAXUSDT,💥💥💥,1 kline,22.671,2023-12-05 02:55:33.050000,22.46,5.0,0.0,11.0,2.245
1312,IDEXUSDT,💥💥💥,1 kline,0.06202,2023-12-05 02:51:29.154000,0.06173,2.0,0.0,7.0,1.741
1313,RENUSDT,💥💥💥,1 kline,0.06752,2023-12-05 02:48:48.528000,0.06578,8.0,0.0,14.0,1.126
1314,CHRUSDT,💥💥💥,1 kline,0.1535,2023-12-05 02:46:43.996000,0.1522,1.0,0.0,1.0,1.498
1315,ASTRUSDT,🌊🌊🌊,2 kline,0.07344,2023-12-05 02:42:22.653000,0.07292,2.0,0.0,4.0,0.967
1316,RDNTUSDT,🌊🌊🌊,2 kline,0.2696,2023-12-05 02:39:36.255000,0.268,4.0,0.0,2.0,2.596
1317,MAVUSDT,💥💥💥,1 kline,0.341,2023-12-05 02:37:49.853000,0.3351,2.0,0.0,2.0,13.021
1318,1000XECUSDT,🌊🌊🌊,2 kline,0.0313,2023-12-05 02:36:56.546000,0.03117,11.0,1.0,57.0,0.543
1319,BALUSDT,🌊🌊🌊,2 kline,4.358,2023-12-05 02:36:38.213000,4.309,4.0,0.0,3.0,0.39
1320,ILVUSDT,💥💥💥,1 kline,111.17,2023-12-05 02:36:33.909000,112.92,2.0,0.0,21.0,0.315
1321,COMPUSDT,🌊🌊🌊,2 kline,51.28,2023-12-05 02:36:00.343000,50.99,6.0,0.0,10.0,1.97
1322,GALAUSDT,🌊🌊🌊,2 kline,0.0286,2023-12-05 02:35:45.731000,0.0285,3.0,0.0,22.0,12.028
1323,ZENUSDT,🌊🌊🌊,2 kline,11.274,2023-12-05 02:35:28.992000,11.208,4.0,0.0,2.0,2.182
1324,WAXPUSDT,🌊🌊🌊,2 kline,0.06449,2023-12-05 02:35:09.903000,0.06372,2.0,0.0,2.0,1.954
1325,POLYXUSDT,🌊🌊🌊,2 kline,0.2198,2023-12-05 02:35:08.715000,0.216,3.0,0.0,4.0,1.865
1326,STRAXUSDT,💥💥💥,1 kline,1.0854,2023-12-05 02:35:01.766000,1.0783,9.0,0.0,35.0,2.524
1327,WOOUSDT,💥💥💥,1 kline,0.23848,2023-12-05 02:34:16.735000,0.23508,8.0,0.0,39.0,1.384
1328,MINAUSDT,💥💥💥,1 kline,0.7458,2023-12-05 02:34:16.709000,0.7374,15.0,0.0,30.0,7.938
1329,BCHUSDT,💥💥💥,1 kline,254.0,2023-12-05 02:34:16.511000,250.13,12.0,0.0,23.0,0.89
1330,ZRXUSDT,💥💥💥,1 kline,0.4107,2023-12-05 02:34:16.647000,0.4101,8.0,0.0,16.0,5.259
1331,RIFUSDT,💥💥💥,1 kline,0.13694,2023-12-05 02:34:16.657000,0.13485,1.0,0.0,1.0,8.639
1332,ACHUSDT,💥💥💥,1 kline,0.02266,2023-12-05 02:24:55.620000,0.02256,4.0,0.0,9.0,2.78
1333,TUSDT,🌊🌊🌊,2 kline,0.0257,2023-12-05 02:21:30.308000,0.02553,7.0,0.0,11.0,12.412
1334,MASKUSDT,💥💥💥,1 kline,3.847,2023-12-05 02:14:50.949000,3.823,2.0,0.0,3.0,12.503
1335,DOGEUSDT,💥💥💥,1 kline,0.09066,2023-12-05 02:11:53.303000,0.0901,4.0,0.0,5.0,2.261
1336,STXUSDT,💥💥💥,1 kline,1.1407,2023-12-05 02:09:39.981000,1.1049,2.0,0.0,1.0,5.944
1337,IOSTUSDT,🌊🌊🌊,2 kline,0.009775,2023-12-05 02:08:45.251000,0.00969,2.0,0.0,4.0,3.028
1338,SUPERUSDT,💥💥💥,1 kline,0.7261,2023-12-05 02:08:44.248000,0.7183,1.0,0.0,1.0,2.589
1339,APTUSDT,🌊🌊🌊,2 kline,7.688,2023-12-05 02:03:28.543000,7.606,2.0,0.0,2.0,2.419
1340,GLMRUSDT,💥💥💥,1 kline,0.3055,2023-12-05 01:55:55.660000,0.3053,4.0,0.0,3.0,3.306
1341,IOTXUSDT,🌊🌊🌊,2 kline,0.04093,2023-12-05 01:42:38.104000,0.03916,1.0,0.0,1.0,6.279
1342,AUDIOUSDT,🌊🌊🌊,2 kline,0.2234,2023-12-05 01:41:42.315000,0.2221,5.0,0.0,43.0,5.192
1343,ILVUSDT,💥💥💥,1 kline,111.32,2023-12-05 01:27:34.693000,108.46,8.0,0.0,15.0,3.494
1344,RIFUSDT,💥💥💥,1 kline,0.13441,2023-12-05 01:26:08.583000,0.13422,2.0,0.0,1.0,10.684
1345,1000SHIBUSDT,🌊🌊🌊,2 kline,0.009173,2023-12-05 01:21:08.700000,0.00901,7.0,0.0,29.0,0.807
1346,1000PEPEUSDT,💥💥💥,1 kline,0.0013994,2023-12-05 01:19:57.519000,0.001397,2.0,0.0,2.0,0.579
1347,IOTAUSDT,🌊🌊🌊,3 kline,0.3348,2023-12-05 01:16:57.209000,0.3322,3.0,0.0,4.0,0.06
1348,RADUSDT,🌊🌊🌊,2 kline,1.624,2023-12-05 01:16:48.319000,1.603,5.0,0.0,40.0,0.862
1349,TUSDT,💥💥💥,1 kline,0.02577,2023-12-05 01:12:57.493000,0.02562,6.0,0.0,48.0,12.107
1350,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,42241.4,2023-12-05 01:12:53.486000,,,,,
1351,GALUSDT,💥💥💥,1 kline,1.6238,2023-12-05 01:07:28.867000,1.6184,2.0,0.0,15.0,0.474
1352,BSVUSDT,🌊🌊🌊,2 kline,52.54,2023-12-05 00:56:35.643000,52.37,2.0,0.0,5.0,0.381
1353,LUNA2USDT,💥💥💥,1 kline,1.2171,2023-12-05 00:53:48.037000,1.193,1.0,0.0,1.0,2.703
1354,HOTUSDT,💥💥💥,1 kline,0.001752,2023-12-05 00:53:43.291000,0.001737,1.0,0.0,1.0,0.285
1355,APTUSDT,🌊🌊🌊,2 kline,7.496,2023-12-05 00:49:37.270000,7.489,2.0,0.0,1.0,5.016
1356,AGLDUSDT,🌊🌊🌊,2 kline,1.0065,2023-12-05 00:49:26.580000,0.9995,6.0,1.0,75.0,2.752
1357,BIGTIMEUSDT,💥💥💥,1 kline,0.9142,2023-12-05 00:48:35.981000,0.7349,1.0,0.0,1.0,3.916
1358,LPTUSDT,💥💥💥,1 kline,6.776,2023-12-05 00:48:32.668000,6.743,3.0,0.0,1.0,1.83
1359,YFIUSDT,🌊🌊🌊,2 kline,8577.0,2023-12-05 00:46:59.316000,8552.0,9.0,1.0,64.0,2.308
1360,SSVUSDT,💥💥💥,1 kline,27.53,2023-12-05 00:36:25.260000,27.47,5.0,0.0,4.0,0.908
1361,RVNUSDT,💥💥💥,1 kline,0.02046,2023-12-05 00:35:21.101000,0.02037,1.0,0.0,1.0,2.053
1362,SFPUSDT,🌊🌊🌊,2 kline,0.7145,2023-12-05 00:35:12.535000,0.7102,12.0,0.0,45.0,0.434
1363,ONEUSDT,💥💥💥,1 kline,0.01443,2023-12-05 00:33:57.171000,0.01427,5.0,0.0,5.0,1.317
1364,COMBOUSDT,💥💥💥,1 kline,0.7511,2023-12-05 00:33:50.202000,0.746,7.0,0.0,8.0,3.635
1365,GLMRUSDT,💥💥💥,1 kline,0.3038,2023-12-05 00:33:45.882000,0.303,1.0,0.0,1.0,3.16
1366,BELUSDT,🌊🌊🌊,2 kline,0.6573,2023-12-05 00:33:43.040000,0.6542,2.0,0.0,2.0,2.267
1367,ORDIUSDT,💥💥💥,1 kline,50.891,2023-12-05 00:32:21.355000,50.5,1.0,0.0,1.0,7.838
1368,1000FLOKIUSDT,💥💥💥,1 kline,0.03655,2023-12-05 00:30:51.364000,0.03632,1.0,0.0,1.0,3.283
1369,UNFIUSDT,🌊🌊🌊,2 kline,10.313,2023-12-05 00:29:21.487000,10.282,6.0,0.0,48.0,0.204
1370,MAVUSDT,💥💥💥,1 kline,0.3253,2023-12-05 00:20:39.103000,0.3238,1.0,0.0,1.0,2.797
1371,RENUSDT,🌊🌊🌊,2 kline,0.066,2023-12-05 00:11:39.014000,0.06527,3.0,0.0,5.0,1.515
1372,GALAUSDT,🌊🌊🌊,2 kline,0.02806,2023-12-05 00:03:13.810000,0.02795,11.0,0.0,36.0,1.461
1373,SXPUSDT,🌊🌊🌊,2 kline,0.3622,2023-12-05 00:02:59.029000,0.3604,5.0,0.0,19.0,0.525
1374,CTKUSDT,🌊🌊🌊,2 kline,0.5588,2023-12-05 00:01:31.495000,0.5572,9.0,0.0,20.0,1.02
1375,CFXUSDT,💥💥💥,1 kline,0.198,2023-12-05 00:00:36.518000,0.1986,4.0,0.0,1.0,6.919
1376,DOGEUSDT,💥💥💥,1 kline,0.0896,2023-12-04 23:56:55.245000,0.08912,5.0,1.0,59.0,0.391
1377,TOKENUSDT,🌊🌊🌊,2 kline,0.03813,2023-12-04 23:43:45.083000,0.03732,2.0,0.0,2.0,4.799
1378,JASMYUSDT,🌊🌊🌊,2 kline,0.005844,2023-12-04 23:43:31.603000,0.005769,2.0,0.0,3.0,1.506
1379,EDUUSDT,🌊🌊🌊,2 kline,0.6235,2023-12-04 23:42:59.424000,0.6257,2.0,0.0,2.0,0.369
1380,1INCHUSDT,💥💥💥,1 kline,0.3596,2023-12-04 23:40:56.267000,0.3586,4.0,0.0,15.0,1.78
1381,ASTRUSDT,💥💥💥,1 kline,0.0717,2023-12-04 23:39:53.453000,0.07177,1.0,0.0,1.0,1.52
1382,1000PEPEUSDT,💥💥💥,1 kline,0.0013366,2023-12-04 23:33:58.722000,0.0013366,2.0,0.0,1.0,5.305
1383,MEMEUSDT,🌊🌊🌊,2 kline,0.031929,2023-12-04 23:31:25.756000,0.03169,5.0,0.0,22.0,2.571
1384,NKNUSDT,🌊🌊🌊,2 kline,0.11406,2023-12-04 23:28:44.413000,0.11364,9.0,1.0,55.0,0.859
1385,BLURUSDT,💥💥💥,1 kline,0.5393,2023-12-04 23:28:36.449000,0.5382,3.0,0.0,9.0,0.093
1386,LPTUSDT,💥💥💥,1 kline,6.732,2023-12-04 23:27:48.453000,6.654,12.0,2.0,118.0,3.09
1387,DYDXUSDT,💥💥💥,1 kline,3.181,2023-12-04 23:19:53.239000,3.173,3.0,0.0,3.0,0.22
1388,XVSUSDT,🌊🌊🌊,2 kline,8.454,2023-12-04 23:16:31.025000,8.313,10.0,1.0,92.0,1.147
1389,ACHUSDT,💥💥💥,1 kline,0.02212,2023-12-04 23:15:39.298000,0.02208,1.0,0.0,1.0,1.356
1390,TWTUSDT,💥💥💥,1 kline,1.2262,2023-12-04 23:15:24.596000,1.219,13.0,0.0,30.0,0.652
1391,PHBUSDT,💥💥💥,1 kline,0.827,2023-12-04 23:11:37.476000,0.8227,17.0,1.0,93.0,1.56
1392,GLMRUSDT,🌊🌊🌊,2 kline,0.2904,2023-12-04 23:09:57.570000,0.2881,6.0,0.0,26.0,7.128
1393,ORDIUSDT,🌊🌊🌊,2 kline,48.573,2023-12-04 23:08:53.458000,47.455,2.0,0.0,12.0,12.985
1394,1000BONKUSDT,🌊🌊🌊,4 kline,0.006991,2023-12-04 23:05:33.861000,0.006732,2.0,0.0,4.0,0.415
1395,OGNUSDT,🌊🌊🌊,2 kline,0.133,2023-12-04 23:04:44.470000,0.1309,6.0,0.0,19.0,1.579
1396,NTRNUSDT,🌊🌊🌊,2 kline,0.7002,2023-12-04 23:03:35.349000,0.6882,1.0,0.0,1.0,6.527
1397,USTCUSDT,🌊🌊🌊,2 kline,0.05882,2023-12-04 23:02:46.712000,0.05748,2.0,0.0,1.0,2.108
1398,ICPUSDT,🌊🌊🌊,2 kline,4.988,2023-12-04 23:00:55.336000,4.959,12.0,0.0,20.0,1.664
1399,BIGTIMEUSDT,💥💥💥,1 kline,0.6466,2023-12-04 22:58:55.433000,0.644,1.0,0.0,1.0,46.598
1400,BIGTIMEUSDT,💥💥💥,1 kline,0.6466,2023-12-04 22:58:55.433000,0.644,1.0,0.0,1.0,46.598
1401,ICXUSDT,🌊🌊🌊,2 kline,0.2648,2023-12-04 22:57:54.374000,0.2634,19.0,1.0,89.0,0.68
1402,MINAUSDT,🌊🌊🌊,2 kline,0.7363,2023-12-04 22:57:48.115000,0.7363,14.0,1.0,85.0,1.114
1403,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,42070.0,2023-12-04 22:56:53.166000,,,,,
1404,IOTXUSDT,🌊🌊🌊,2 kline,0.03936,2023-12-04 22:51:31.494000,0.03752,2.0,0.0,1.0,2.109
1405,CELRUSDT,🌊🌊🌊,2 kline,0.01618,2023-12-04 22:48:34.846000,0.01603,5.0,0.0,2.0,1.916
1406,EGLDUSDT,💥💥💥,1 kline,51.47,2023-12-04 22:46:10.899000,51.47,5.0,0.0,44.0,0.952
1407,OXTUSDT,🌊🌊🌊,2 kline,0.07649,2023-12-04 22:45:59.038000,0.07621,4.0,0.0,9.0,0.614
1408,BEAMXUSDT,💥💥💥,1 kline,0.01241,2023-12-04 22:44:02.461000,0.012514,2.0,0.0,1.0,0.516
1409,IOSTUSDT,💥💥💥,1 kline,0.009838,2023-12-04 22:36:42.306000,0.009832,1.0,0.0,1.0,0.691
1410,TOKENUSDT,💥💥💥,1 kline,0.03788,2023-12-04 22:33:42.292000,0.03726,2.0,0.0,2.0,0.766
1411,RVNUSDT,💥💥💥,1 kline,0.02033,2023-12-04 22:32:44.073000,0.01997,5.0,0.0,15.0,2.902
1412,FXSUSDT,💥💥💥,1 kline,8.583,2023-12-04 22:26:33.126000,8.621,6.0,0.0,3.0,0.338
1413,CYBERUSDT,🌊🌊🌊,3 kline,6.768,2023-12-04 22:23:57.956000,6.708,5.0,1.0,55.0,2.128
1414,CFXUSDT,🌊🌊🌊,2 kline,0.2057,2023-12-04 22:22:46.697000,0.1952,2.0,0.0,1.0,0.535
1415,HIGHUSDT,🌊🌊🌊,2 kline,1.467,2023-12-04 22:16:28.671000,1.465,9.0,2.0,121.0,1.295
1416,LUNA2USDT,🌊🌊🌊,2 kline,1.1818,2023-12-04 22:08:28.963000,1.1449,2.0,0.0,3.0,1.794
1417,HOTUSDT,🌊🌊🌊,2 kline,0.00172,2023-12-04 22:03:59.293000,0.001712,6.0,0.0,5.0,0.93
1418,SUPERUSDT,💥💥💥,1 kline,0.674,2023-12-04 22:01:47.368000,0.6651,4.0,0.0,5.0,6.632
1419,FRONTUSDT,🌊🌊🌊,2 kline,0.351,2023-12-04 22:00:59.886000,0.3497,4.0,0.0,3.0,1.168
1420,XVGUSDT,💥💥💥,1 kline,0.00374,2023-12-04 21:56:22.379000,0.003725,4.0,0.0,6.0,0.989
1421,STRAXUSDT,🌊🌊🌊,2 kline,1.085,2023-12-04 21:42:05.947000,1.083,4.0,0.0,7.0,0.138
1422,NTRNUSDT,💥💥💥,1 kline,0.6812,2023-12-04 21:40:19.972000,0.6761,2.0,0.0,1.0,5.402
1423,FTMUSDT,💥💥💥,1 kline,0.3103,2023-12-04 21:34:34.103000,0.3094,6.0,1.0,78.0,0.58
1424,AGIXUSDT,💥💥💥,1 kline,0.3091,2023-12-04 21:34:18.715000,0.3071,2.0,0.0,3.0,1.262
1425,ACHUSDT,🌊🌊🌊,2 kline,0.0218,2023-12-04 21:31:41.739000,0.02144,3.0,0.0,1.0,2.798
1426,RVNUSDT,🌊🌊🌊,2 kline,0.01997,2023-12-04 21:29:50.710000,0.01975,7.0,1.0,72.0,4.757
1427,ZILUSDT,🌊🌊🌊,2 kline,0.02239,2023-12-04 21:29:13.346000,0.02228,2.0,0.0,5.0,0.268
1428,1000PEPEUSDT,💥💥💥,1 kline,0.0013248,2023-12-04 21:22:57.096000,0.0013132,1.0,0.0,1.0,3.895
1429,TWTUSDT,💥💥💥,1 kline,1.2138,2023-12-04 21:16:27.048000,1.2152,9.0,0.0,20.0,1.442
1430,BICOUSDT,💥💥💥,1 kline,0.2916,2023-12-04 21:16:18.679000,0.2927,3.0,0.0,36.0,2.195
1431,ORDIUSDT,💥💥💥,1 kline,42.695,2023-12-04 21:15:39.750000,41.645,8.0,0.0,46.0,15.772
1432,BIGTIMEUSDT,🌊🌊🌊,2 kline,0.586,2023-12-04 21:15:37.803000,0.5691,2.0,0.0,25.0,16.297
1433,KAVAUSDT,💥💥💥,1 kline,0.8086,2023-12-04 21:15:23.823000,0.8072,4.0,0.0,9.0,0.73
1434,GTCUSDT,🌊🌊🌊,2 kline,1.14,2023-12-04 21:12:14.662000,1.133,1.0,0.0,1.0,1.053
1435,JASMYUSDT,💥💥💥,1 kline,0.005673,2023-12-04 21:07:29.717000,0.005648,7.0,0.0,39.0,1.551
1436,TOKENUSDT,💥💥💥,1 kline,0.03684,2023-12-04 21:05:56.402000,0.03636,1.0,0.0,1.0,4.533
1437,LPTUSDT,🌊🌊🌊,2 kline,6.613,2023-12-04 21:05:25.001000,6.541,5.0,0.0,3.0,0.998
1438,GRTUSDT,💥💥💥,1 kline,0.14831,2023-12-04 21:01:59.495000,0.14749,10.0,0.0,40.0,0.074
1439,RUNEUSDT,💥💥💥,1 kline,6.643,2023-12-04 21:01:42.141000,6.576,1.0,0.0,1.0,0.406
1440,UMAUSDT,🌊🌊🌊,2 kline,2.011,2023-12-04 21:01:41.365000,1.998,5.0,0.0,14.0,0.895
1441,BLZUSDT,💥💥💥,1 kline,0.27463,2023-12-04 21:01:38.295000,0.27306,6.0,0.0,11.0,0.856
1442,SUPERUSDT,💥💥💥,1 kline,0.6482,2023-12-04 20:58:53.478000,0.6414,2.0,0.0,3.0,6.032
